"Name","Gross Export","Share","Code","Sector"
"New pneumatic tires of rubber","429659","0.0011296270174288693","4011","Chemicals"
"Used pneumatic tires of rubber","284559","0.0007481410477903212","4012","Chemicals"
"Rubber inner tubes","782683","0.002057771076323968","4013","Chemicals"
"Other articles of vulcanized rubber","1657652","0.004358173539236929","4016","Chemicals"
"Hard rubber","18871","0.00004961420904926976","4017","Chemicals"
"Raw hides of bovines or equines","2330536","0.006127269371037514","4101","Agriculture"
"Other raw hides and skins","1677208","0.0044095886985908335","4103","Agriculture"
"Tanned hides of bovines or equines","25894642","0.0680802385376504","4104","Agriculture"
"Bovine leather further prepared","84992","0.00022345455225030654","4107","Agriculture"
"Composition leather","3394","0.000008923248662668728","4111","Agriculture"
"Saddlery and harnesses","39917","0.00010494676395631925","4201","Agriculture"
"Trunks or cases","195158","0.0005130946854770487","4202","Agriculture"
"Leather apparel","36159","0.00009506651396388877","4203","Agriculture"
"Other articles of leather","2109","0.000005544823638647126","4205","Agriculture"
"Furskin apparel","1539","0.0000040462226552289835","4303","Agriculture"
"Fuel wood","8960965","0.02355949291469395","4401","Agriculture"
"Wood charcoal","255582","0.000671956906217501","4402","Agriculture"
"Strips and other pieces of wood","3158","0.000008302775273042969","4404","Agriculture"
"Wood sawn lengthwise","5318","0.000013981684262838033","4407","Agriculture"
"Sheets for veneering for plywood","27490","0.00007227463339327145","4408","Agriculture"
"Wood shaped along its edges","34260","0.00009007380647702727","4409","Agriculture"
"Particle board and similar board","1678126","0.0044120022349114964","4410","Agriculture"
"Fiberboard of wood","13760254","0.03617742136225162","4411","Agriculture"
"Plywood","78780","0.00020712243065558112","4412","Agriculture"
"Packing boxes","2303","0.000006054873797915756","4415","Agriculture"
"Casks, barrels, etc. of wood","35100","0.0000922822710841698","4416","Agriculture"
"Wooden tools","3630","0.000009543722052294484","4417","Agriculture"
"Wood carpentry for construction","18293","0.00004809457506959311","4418","Agriculture"
"Wooden kitchenware","4673","0.000012285898939496451","4419","Agriculture"
"Wood marquetry, ornaments, etc.","14311","0.000037625401181924615","4420","Agriculture"
"Other articles of wood","32906","0.00008651397186027611","4421","Agriculture"
"Basketwork","5910","0.00001553812598596705","4602","Agriculture"
"Pulps of recovered paper fibers","1643","0.000004319651606589487","4706","Agriculture"
"Paper waste","409686","0.0010771155131449911","4707","Agriculture"
"Other uncoated paper and paperboard","5227","0.000013742433930397594","4805","Agriculture"
"Paper and paperboard, coated with kaolin","3701","0.000009730389894088674","4810","Agriculture"
"Cellulose wadding, coated","39301","0.00010332722324441474","4811","Agriculture"
"Cigarette paper","52202","0.00013724555883577868","4813","Agriculture"
"Wallpaper","1437","0.0000037780519529331055","4814","Agriculture"
"Cardboard packing containers","29385","0.0000772568243820037","4819","Agriculture"
"Notebooks","13165","0.000034612424467894454","4820","Agriculture"
"Paper labels","154081","0.00040509813706324693","4821","Agriculture"
"Other paper cut to size","415449","0.0010922671578247082","4823","Agriculture"
"Books, brochures etc.","1208111","0.003176274267856623","4901","Agriculture"
"Newspapers, journals and periodicals","39644","0.00010422901295899795","4902","Agriculture"
"Children's books","2063","0.000005423883910160749","4903","Agriculture"
"Unused stamps","2061","0.000005418625661096124","4907","Agriculture"
"Calendars","2504","0.000006583327828910575","4910","Agriculture"
"Other printed matter","70392","0.0001850693340785436","4911","Agriculture"
"Wool","10674","0.000028063275257903942","5101","Textiles"
"Raw cotton","18370","0.000048297017658581176","5201","Textiles"
"Cotton yarn of > 85%","50927","0.00013389342505708022","5205","Textiles"
"Woven fabrics of cotton of < 85% weighing > 200 g/m2","927680","0.002438986246135688","5209","Textiles"
"Woven fabrics of cotton of < 85% weighing < 200 g/m2","36492","0.00009594201243314885","5210","Textiles"
"Other woven cotton fabrics","40649","0.00010687128311397203","5212","Textiles"
"Woven fabrics of flax","4622","0.000012151813588348514","5309","Textiles"
"Synthetic filament yarn","3399","0.000008936394285330289","5402","Textiles"
"Woven fabrics of synthetic filament yarn","1103","0.000002899924359140721","5407","Textiles"
"Yarn of synthetic staple fibers, not for retail sale","40532","0.00010656367554369146","5509","Textiles"
"Woven fabrics of > 85% synthetic staple fibers","9514","0.000025013490800421408","5512","Textiles"
"Other woven fabrics of synthetic staple fibers","9815","0.000025804857284647482","5515","Textiles"
"Woven fabrics of artificial staple fibers","6067","0.00001595089853754012","5516","Textiles"
"Nonwoven textiles","906677","0.002383766743583528","5603","Textiles"
"Rubber textiles","315139","0.0008285396759884383","5604","Textiles"
"Twine and ropes of baste fibers","1639","0.000004309135108460237","5607","Textiles"
"Nets","2484","0.000006530745338264325","5608","Textiles"
"Woven carpets and rugs","100860","0.00026517350032904176","5702","Textiles"
"Carpets, tufted","11077","0.000029122812444425897","5703","Textiles"
"Lace and net fabrics","1500","0.000003943686798468795","5804","Textiles"
"Narrow woven fabrics","116698","0.0003068135746718076","5806","Textiles"
"Textile fabrics impregnated with plastics","5252","0.000013808162043705408","5903","Textiles"
"Textile wall coverings","2217","0.000005828769088136879","5905","Textiles"
"Other textile fabrics impregnated, coated or covered","7498","0.000019713175743279347","5907","Textiles"
"Textile hosepiping and similar tubing","3188","0.000008381649009012344","5909","Textiles"
"Textile articles for technical use","4522","0.000011888901135117261","5911","Textiles"
